Feature,Appearances,Stability_Score,CV_Importance
Wind_Speed_Sqrt,7,1.0,1.1554384713853791
Pressure,7,1.0,1.1557574145529643
Solar_Radiation,7,1.0,1.1755361562681714
Energy_MA_7,7,1.0,1.2534673450366134
Humidity,7,1.0,1.3876945557329121
Energy_Lag_1,7,1.0,1.4965286215354645
Wind_Speed,7,1.0,1.5253715395799659
Temp_MA_7,7,1.0,1.5414103017926142
Temperature_Squared,7,1.0,1.5451344382191987
Temperature_C,7,1.0,1.567974209648017
Quarter,7,1.0,1.5815197540965138
Week_of_Year,7,1.0,1.6195988164448638
Is_Weekend,7,1.0,1.6354602133540774
Temp_Humidity_Interaction,7,1.0,1.6471479672800173
Season_Summer,7,1.0,1.863092995569815
Day_of_Week,7,1.0,1.871461423647667
TempCat_Cold,7,1.0,1.9310898177871056
Temp_Lag_7,7,1.0,1.9395874651734928
Temp_MA_30,7,1.0,2.046482521609186
TempCat_Cool,7,1.0,2.0663811911415513
Season_Spring,7,1.0,2.178283355821127
Day_of_Year,7,1.0,2.389136036602372
Wind_Solar_Interaction,7,1.0,2.395568228608371
Pressure_Temp_Interaction,7,1.0,2.4293328468100372
Humidity_Squared,7,1.0,2.4453072430915666
TempCat_Moderate,7,1.0,2.449448409640469
Temp_Category_Encoded,7,1.0,2.4494758782262416
Season_Encoded,7,1.0,2.4625736583258497
Month,7,1.0,2.4689328872904825
Season_Autumn,7,1.0,2.746745457687703
Season_Winter,7,1.0,3.574654668795611
Temp_Lag_1,7,1.0,4.59346774594871
TempCat_Hot,7,1.0,inf
