Feature,Correlation,P_Value
Energy_MA_7,0.5261731070385992,1.3069148959192447e-258
Temperature_C,-0.5017423359113483,1.3409723959577237e-231
Pressure_Temp_Interaction,-0.498387666611877,4.650816733840837e-228
Humidity,0.4913897316564115,8.439257785910142e-221
Humidity_Squared,0.4876752641254505,5.1419076213940845e-217
TempCat_Cold,0.46455065865603684,1.780404655767516e-194
Solar_Radiation,-0.4558034088187464,2.1580296234006716e-186
Temperature_Squared,-0.4054871434736022,3.1053195812353716e-144
Temp_MA_7,-0.3922635079327371,2.664901565437454e-134
Temp_Lag_1,-0.3875410945164343,7.319521548896849e-131
Temp_MA_30,-0.35754363211418333,2.6594496048558925e-110
Season_Summer,0.33628907750948633,5.105926966642928e-97
Wind_Solar_Interaction,-0.3266618079172119,2.4537546766764725e-91
Temp_Category_Encoded,-0.2892953352635772,3.5921497457968584e-71
Temp_Lag_7,-0.2750843525525976,2.9331455065144646e-64
Energy_Lag_1,0.2433989696313052,2.810427658484725e-50
Season_Winter,-0.20931261445258492,2.3833508391574082e-37
Temp_Humidity_Interaction,-0.17327950789032837,5.966312462964772e-26
TempCat_Moderate,-0.1675241902762315,2.4393531972827783e-24
Wind_Speed,-0.14604635607451183,8.039233851930224e-19
Wind_Speed_Sqrt,-0.13666584950035196,1.1826234788537962e-16
TempCat_Cool,-0.11057066505883804,2.2016964347891813e-11
Pressure,0.10759742361940675,7.466845894050428e-11
Season_Spring,-0.09759501503807096,3.577258776850269e-09
Quarter,0.07621867013917148,4.115308940596315e-06
Month,0.07319123681324544,9.777390681240581e-06
Day_of_Year,0.07263383001160305,1.1425481982184522e-05
Week_of_Year,0.06881209688204122,3.2271846159296205e-05
Season_Autumn,-0.03157034020665419,0.05673842070233895
Is_Weekend,0.020682854277041307,0.21200699909682014
Season_Encoded,-0.018234428667081626,0.2712040000193984
Day_of_Week,0.013414519950758182,0.41827224744041264
TempCat_Hot,0.0031773660608564454,0.8479679543009265
